Well name,Surface name,Obs#,Qlf,MD,TVD,TVDSS,TWT,Dip,Azi,Easting,Northing,Intrp
NO 15/9-F-1 B,SHETLAND GP. Top,1,,2771,2607.34,-2552.44,2403.68,,,435284.3,6479162.6,STAT
NO 15/9-F-1 B,Hugin Fm. VOLVE Top,1,,3245.4,3041.84,-2986.94,2632.32,,,435433.3,6479276.7,STAT
NO 15/9-F-1 B,Hugin Fm. VOLVE Base,1,FP,3304.2,3099.65,-3044.75,,,,435441.1,6479283.6,STAT
NO 15/9-F-11 B,SHETLAND GP. Top,1,,2787.55,2590.01,-2535.11,2367.21,,,434852.9,6478641,STAT
NO 15/9-F-11 B,Hugin Fm. VOLVE Top,1,,3467.47,2883.99,-2829.09,2530.42,,,435431.3,6478554.3,STAT
NO 15/9-F-11 B,Hugin Fm. VOLVE Base,1,NR,3539,2904.4,-2849.5,2539.11,,,435486.1,6478513.3,STAT
NO 15/9-F-11 B,Hugin Fm. VOLVE Base,2,NR,3539,2904.4,-2849.5,2539.11,,,435486.1,6478513.3,STAT
NO 15/9-F-11 B,Hugin Fm. VOLVE Top,2,FP,3809.5,2925.5,-2870.6,2561.93,,,435718.3,6478378.5,STAT
NO 15/9-F-11 B,Hugin Fm. VOLVE Top,3,,3894,2930.1,-2875.2,2569.06,,,435794.4,6478342.4,STAT
NO 15/9-F-11 B,Hugin Fm. VOLVE Base,3,NR,3900,2930.8,-2875.9,2569.56,,,435800,6478340.3,STAT
NO 15/9-F-11 B,Hugin Fm. VOLVE Base,4,NR,3900,2930.8,-2875.9,2569.56,,,435800,6478340.3,STAT
NO 15/9-F-11 B,Hugin Fm. VOLVE Top,4,FP,3934,2935.11,-2880.21,2572.43,,,435831.7,6478329,STAT
NO 15/9-F-11 B,Hugin Fm. VOLVE Top,5,FP,3952,2937.82,-2882.92,2573.95,,,435848.8,6478323.8,STAT
NO 15/9-F-11 B,Hugin Fm. VOLVE Base,5,NR,4108,2972.21,-2917.31,2596.89,,,435998,6478295.9,STAT
NO 15/9-F-11 B,Hugin Fm. VOLVE Base,6,NR,4108,2972.21,-2917.31,2596.89,,,435998,6478295.9,STAT
NO 15/9-F-11 B,Hugin Fm. VOLVE Top,6,FP,4374,3025.77,-2970.87,2643.41,,,436257.2,6478303.3,STAT
NO 15/9-F-11 B,Hugin Fm. VOLVE Top,7,,4483.5,3065.64,-3010.74,2662.56,,,436356.3,6478326.2,STAT
NO 15/9-F-11 B,Hugin Fm. VOLVE Base,7,,4732,3226.96,-3172.06,,,,436531,6478389.8,STAT
NO 15/9-F-12,SHETLAND GP. Top,1,,2690.33,2586.3,-2531.4,2383.84,,,434720.4,6478365.6,STAT
NO 15/9-F-12,Hugin Fm. VOLVE Top,1,,3126,2873.29,-2818.39,2516.8,,,435029.3,6478277.7,STAT 
NO 15/9-F-12,Hugin Fm. VOLVE Base,1,,3280.34,2964.53,-2909.63,2572.4,,,435151.6,6478255.6,STAT
NO 15/9-F-14,Ty Fm. Top,1,,2472.78,2466.36,-2411.46,2304.23,,,435092.6,6478618.1,STAT
NO 15/9-F-14,SHETLAND GP. Top,1,,2608,2589.25,-2534.35,2382.72,,,435134.7,6478653.7,STAT
NO 15/9-F-14,Hugin Fm. VOLVE Top,1,,3000.6,2860.36,-2805.46,2520.02,7.5,54,435367,6478803.1,STAT
NO 15/9-F-14,Hugin Fm. VOLVE Base,1,,3208.3,2925.59,-2870.69,2554.95,,,435553.3,6478863.4,STAT 
NO 15/9-F-14,Hugin Fm. VOLVE Base,2,FP,3286.78,2939.14,-2884.24,2563.69,,,435629.9,6478873.1,STAT
NO 15/9-F-14,Hugin Fm. VOLVE Top,2,NR,3375,2961.54,-2906.64,2579.24,,,435714.8,6478879.8,STAT
NO 15/9-F-14,Hugin Fm. VOLVE Top,3,NR,3375,2961.54,-2906.64,2579.24,,,435714.8,6478879.8,STAT
NO 15/9-F-14,Hugin Fm. VOLVE Base,3,FP,3480,2999.69,-2944.79,2605.39,,,435812.4,6478885.4,STAT
NO 15/9-F-14,Hugin Fm. VOLVE Top,4,FP,3480,2999.69,-2944.79,2605.39,,,435812.4,6478885.4,STAT
NO 15/9-F-14,Hugin Fm. VOLVE Base,4,,3680.2,3113.85,-3058.95,2670.62,,,435975.6,6478880,STAT
NO 15/9-F-15 C,Ty Fm. Top,1,,2606.03,2454.3,-2399.4,2303.67,,,434975.9,6477928,STAT
NO 15/9-F-15 C,SHETLAND GP. Top,1,,2767.5,2600.51,-2545.61,2400.21,,,434921,6477888.8,STAT
NO 15/9-F-15 C,Hugin Fm. VOLVE Top,1,,3125.24,2944.85,-2889.95,2558.99,,,434830.1,6477863.6,STAT
NO 15/9-F-15 C,Hugin Fm. VOLVE Base,1,,3161.67,2978.6,-2923.7,2576.73,,,434816.8,6477860.3,STAT
NO 15/9-F-4,Ty Fm. Top,1,,2617,2472.34,-2417.44,,1,,435609.7,6478195.3,STAT
NO 15/9-F-4,SHETLAND GP. Top,1,,2742,2582.66,-2527.76,,,,435659.5,6478165.1,STAT
NO 15/9-F-4,Hugin Fm. VOLVE Top,1,,3249.31,2985.94,-2931.04,2617.17,5,,435715.9,6477879.2,STAT
NO 15/9-F-4,Hugin Fm. VOLVE Base,1,,3423.53,3088.22,-3033.32,2680.61,,,435679.4,6477743.2,STAT
NO 15/9-F-5,Ty Fm. Top,1,,2787.34,2493.99,-2439.09,,,,436042.1,6478214.9,STAT
NO 15/9-F-5,SHETLAND GP. Top,1,,2899.01,2589.83,-2534.93,,,,436098.2,6478226.3,STAT
NO 15/9-F-5,Hugin Fm. VOLVE Top,1,,3473.11,3055.1,-3000.2,2663.85,20,45,436303.2,6478469.6,STAT
NO 15/9-F-5,Hugin Fm. VOLVE Base,1,,3712.93,3198.93,-3144.03,2747.38,,,436380.1,6478645,STAT
  ,,,,,,,,,,,,
